sheep.1,wolves.1,sheep.2,wolves.2,sheep.3,wolves.3,sheep.4,wolves.4,sheep.5,wolves.5,sheep.6,wolves.6,sheep.7,wolves.7,sheep.8,wolves.8,sheep.9,wolves.9,sheep.10,wolves.10
251,2,236,0,195,3,261,0,99,0,247,0,93,0,159,1,219,0,235,1
264,2,243,0,204,3,272,0,103,0,258,0,95,0,167,1,229,0,246,1
270,0,259,0,212,3,280,0,104,0,266,0,97,0,171,0,243,0,261,1
277,0,268,0,220,3,294,0,113,0,278,0,99,0,181,0,255,0,273,1
293,0,277,0,228,3,306,0,116,0,289,0,103,0,189,0,270,0,283,1
308,0,285,0,238,1,321,0,117,0,303,0,107,0,201,0,282,0,295,1
319,0,297,0,250,1,327,0,121,0,312,0,111,0,208,0,293,0,306,1
326,0,311,0,261,1,347,0,124,0,321,0,115,0,217,0,308,0,318,1
339,0,323,0,276,1,366,0,128,0,332,0,121,0,220,0,325,0,328,1
364,0,338,0,282,1,382,0,139,0,343,0,124,0,225,0,335,0,344,1
384,0,352,0,293,1,394,0,148,0,356,0,128,0,241,0,351,0,357,1
405,0,363,0,307,1,412,0,157,0,364,0,131,0,251,0,366,0,369,1
420,0,372,0,320,1,427,0,161,0,380,0,137,0,265,0,388,0,379,1
435,0,394,0,332,1,450,0,166,0,388,0,142,0,272,0,400,0,405,1
453,0,412,0,350,1,466,0,176,0,404,0,146,0,285,0,420,0,422,1
470,0,423,0,360,1,484,0,186,0,421,0,153,0,296,0,439,0,444,1
494,0,436,0,373,1,506,0,189,0,440,0,165,0,305,0,458,0,465,1
517,0,455,0,390,1,525,0,201,0,453,0,172,0,311,0,474,0,484,1
539,0,481,0,408,1,544,0,209,0,463,0,182,0,324,0,488,0,507,1
556,0,501,0,427,1,576,0,217,0,479,0,189,0,340,0,511,0,519,1
582,0,525,0,437,1,599,0,225,0,494,0,193,0,354,0,530,0,545,1
612,0,550,0,455,1,621,0,237,0,516,0,204,0,369,0,551,0,570,1
641,0,566,0,469,1,649,0,248,0,535,0,212,0,381,0,575,0,599,1
666,0,587,0,488,2,673,0,260,0,566,0,223,0,395,0,594,0,621,1
696,0,614,0,506,2,701,0,271,0,584,0,231,0,413,0,616,0,647,1
729,0,641,0,527,2,723,0,289,0,606,0,247,0,430,0,635,0,670,1
748,0,669,0,548,2,752,0,302,0,633,0,257,0,442,0,664,0,697,1
769,0,689,0,560,2,785,0,312,0,660,0,270,0,459,0,691,0,724,1
801,0,719,0,580,2,820,0,320,0,684,0,279,0,475,0,732,0,749,1
827,0,750,0,603,2,849,0,339,0,714,0,288,0,492,0,762,0,773,1
854,0,786,0,631,2,892,0,355,0,745,0,299,0,510,0,789,0,799,1
888,0,815,0,664,2,934,0,368,0,775,0,304,0,522,0,825,0,837,1
924,0,844,0,690,2,953,0,382,0,807,0,316,0,553,0,854,0,864,1
956,0,870,0,716,2,985,0,402,0,833,0,324,0,574,0,887,0,896,1
994,0,906,0,738,2,1028,0,412,0,860,0,337,0,600,0,915,0,934,1
1026,0,948,0,765,2,1065,0,425,0,904,0,360,0,626,0,947,0,966,1
1073,0,983,0,788,2,1115,0,444,0,940,0,370,0,648,0,984,0,1001,1
1135,0,1025,0,822,2,1167,0,468,0,991,0,385,0,675,0,1014,0,1039,1
1169,0,1065,0,851,2,1212,0,489,0,1021,0,402,0,707,0,1049,0,1078,2
1218,0,1103,0,887,2,1264,0,505,0,1067,0,415,0,735,0,1083,0,1122,2
1260,0,1146,0,922,2,1323,0,528,0,1104,0,426,0,764,0,1112,0,1171,2
1316,0,1193,0,964,2,1369,0,556,0,1146,0,446,0,795,0,1150,0,1208,2
1365,0,1236,0,999,2,1422,0,583,0,1199,0,465,0,824,0,1203,0,1263,2
1420,0,1284,0,1035,2,1470,0,610,0,1254,0,482,0,858,0,1254,0,1315,2
1479,0,1336,0,1074,2,1541,0,628,0,1300,0,499,0,889,0,1307,0,1373,2
1546,0,1386,0,1110,2,1596,0,661,0,1341,0,516,0,920,0,1368,0,1424,2
1618,0,1448,0,1150,2,1673,0,686,0,1393,0,543,0,951,0,1423,0,1472,3
1691,0,1499,0,1203,2,1726,0,714,0,1445,0,574,0,996,0,1472,0,1532,3
1771,0,1568,0,1246,2,1793,0,740,0,1501,0,600,0,1031,0,1522,0,1590,4
1847,0,1625,0,1297,3,1854,0,762,0,1573,0,620,0,1076,0,1579,0,1652,5
1907,0,1693,0,1355,3,1917,0,794,0,1629,0,644,0,1123,0,1653,0,1726,6
1975,0,1771,0,1387,3,2001,0,818,0,1696,0,666,0,1162,0,1722,0,1788,7
