Ticks,GreenPatches,K,TotalBM,k.i,Payoffs,beta.i,highMinCut,lowMinCut
1530,1209,10.13,13408,15.31,7.655,0.605929803605812,70,22
1531,1174,10.13,12993,15.22,7.465,0.605629557486093,69,22
1532,1212,10.13,12984,15.13,5.46,0.605629557486093,69,23
1533,1211,10.13,12964,15.12,5.525,0.605929803605811,68,24
1534,1220,10.13,13224,15.1,2.735,0.605929803605811,67,24
1535,1241,10.13,13323.5,15.15,6.025,0.605875092995031,66,23
1536,1222,10.13,13420.5,15.19,5.11,0.602614802836279,68,24
1537,1229,10.13,13698.5,15.08,2.605,0.601889382972374,67,23
1538,1186,10.13,13318.5,15.02,7.185,0.601944093583155,68,24
1539,1201,10.13,13424.5,15.33,1.48,0.601889382972373,70,23
1540,1178,10.13,12945.5,15.48,7.825,0.605299991445583,70,22
1541,1182,10.13,12568,15.56,7.35,0.605299991445583,69,21
1542,1220,10.13,12876,15.43,2.66,0.602464875031019,69,22
1543,1200,10.13,12918,15.33,5.815,0.602765121150737,68,22
1544,1202,10.13,13071.5,15.25,4.165,0.603065367270455,68,23
1545,1177,10.13,12837.5,15.15,7.195,0.599709469408027,68,24
1546,1197,10.13,13216,15.26,0.78,0.599709469408027,70,24
1547,1237,10.13,13585,15.2,2.46,0.602729190131341,69,24
1548,1196,10.13,13470,15.21,5.5,0.60272919013134,69,23
1549,1213,10.13,13441,15.16,5.215,0.60272919013134,68,23
1550,1195,10.13,13188,15.05,6.695,0.60272919013134,68,24
1551,1204,10.13,12957,15.2,6.09,0.605509595935124,68,23
1552,1227,10.13,13155.5,15.26,3.905,0.608229070538719,67,22
1553,1189,10.13,12961,15.07,6.98,0.608229070538719,66,23
1554,1207,10.13,12932.5,15.14,5.76,0.605209349815406,66,24
1555,1224,10.13,13169,15.16,4.055,0.609981757476395,66,24
1556,1228,10.13,13389.5,15.36,3.54,0.610036468087177,68,23
1557,1222,10.13,13138.5,15.24,9.05,0.609981757476395,67,24
1558,1214,10.13,13167,15.24,5.235,0.610282003596113,68,23
1559,1200,10.13,13112.5,15.23,5.9,0.610282003596114,68,23
1560,1184,10.13,12673.5,15.15,9.29,0.613301724319428,67,23
1561,1188,10.13,12530.5,15.37,6.02,0.613301724319428,69,23
1562,1242,10.13,13137,15.41,1.005,0.609891115846218,69,23
1563,1273,10.13,13811,15.43,1.57,0.609891115846218,68,22
1564,1262,10.13,14085.5,15.49,4.99,0.609891115846218,70,23
1565,1271,10.13,14273,15.33,3.97,0.609836405235437,69,23
1566,1264,10.13,14156.5,15.26,6.98,0.609836405235437,69,23
1567,1264,10.13,14267,15.14,4.665,0.60706222002106,68,23
1568,1274,10.13,14238,15.23,6.655,0.607116930631841,68,24
1569,1254,10.13,14303.5,15.23,4.67,0.607116930631841,67,23
1570,1248,10.13,14162,15.04,6.2,0.607116930631841,66,24
1571,1224,10.13,14199.5,15.09,3.85,0.60400656827835,66,24
1572,1222,10.13,13929.5,15.03,5.425,0.60400656827835,67,24
1573,1177,10.13,13224,14.97,9.725,0.598933914497642,68,25
1574,1169,10.13,12948,14.84,4.825,0.59923416061736,67,25
1575,1190,10.13,12885,14.85,3.84,0.599534406737078,67,25
1576,1191,10.13,12912.5,14.81,3.785,0.599834652856796,67,25
1577,1194,10.13,12768,14.91,6.09,0.597597115490653,67,25
1578,1216,10.13,12765,15,6.04,0.600131985785499,67,24
1579,1260,10.13,13149.5,15.15,4.64,0.600707477844144,67,23
1580,1293,10.13,13907.5,15.09,2.27,0.600652767233363,67,23
1581,1307,10.13,14640.5,14.97,1.65,0.597817650818798,67,24
1582,1266,10.13,14571,15.04,7.11,0.597817650818799,67,24
1583,1312,10.13,14721,15.21,5.735,0.601228259292008,68,24
1584,1334,10.13,14881,15.06,6.185,0.600928013172289,67,24
1585,1323,10.13,14891.5,14.97,7.745,0.600627767052572,66,23
1586,1339,10.13,15104.5,14.89,7.685,0.597792650638007,66,24
1587,1327,10.13,15108,15.03,8.055,0.601203259111216,67,23
1588,1323,10.13,15026.5,15.09,8.53,0.601503505230935,66,23
1589,1292,10.13,14839,15,9.28,0.601503505230935,66,24
1590,1309,10.13,14819,15.03,6.9,0.601803751350653,67,24
1591,1297,10.13,14690,14.94,7.79,0.601803751350653,67,25
1592,1260,10.13,14422,14.97,7.585,0.598393142877443,68,25
1593,1216,10.13,14045,14.99,7.47,0.594982534404234,69,26
1594,1226,10.13,13659,15.03,7.9,0.598393142877443,69,26
1595,1258,10.13,13730,14.97,4.865,0.598447853488224,68,26
1596,1216,10.13,13658.5,14.96,5.48,0.598447853488224,68,26
1597,1238,10.13,13849,14.88,3.6,0.59561273707366,68,26
1598,1258,10.13,13998,14.94,5.355,0.600630680243587,69,26
1599,1247,10.13,13919,15.03,6.45,0.603465796658151,69,25
1600,1229,10.13,13813.5,14.95,6.91,0.600746322054556,69,24
1601,1247,10.13,13857,14.79,5.495,0.597726601331242,68,24
1602,1210,10.13,13604,15,6.615,0.594315992858033,69,24
1603,1206,10.13,13421.5,14.87,6.01,0.594616238977751,68,24
1604,1227,10.13,13436.5,15.08,4.33,0.597451355392315,68,23
1605,1227,10.13,13231.5,14.95,7.65,0.594040746919106,68,24
1606,1203,10.13,13161.5,14.91,6.01,0.594040746919106,67,24
1607,1197,10.13,13106.5,14.78,5.535,0.594040746919106,66,25
1608,1194,10.13,13063,14.81,4.035,0.593740500799388,67,26
1609,1183,10.13,12874,14.75,5.425,0.593440254679669,66,26
1610,1161,10.13,12657.5,14.8,4.795,0.593385544068888,65,24
1611,1173,10.13,12481.5,14.79,5.23,0.593385544068888,67,25
1612,1187,10.13,12738.5,14.64,1.805,0.589974935595679,66,26
1613,1211,10.13,12608,14.53,6.24,0.589920224984898,65,26
1614,1212,10.13,13009,14.81,1.195,0.592755341399462,65,25
1615,1211,10.13,12892.5,14.81,7.6,0.593000876908399,64,25
1616,1230,10.13,13133,14.99,4.57,0.592946166297618,67,24
1617,1223,10.13,13414,15.02,2.78,0.592946166297618,66,24
1618,1253,10.13,13591,15.07,5.13,0.588173758636628,65,25
1619,1260,10.13,13740,15.04,5.645,0.585393352832845,67,26
1620,1250,10.13,14049,15.11,3.365,0.585147817323908,68,26
1621,1260,10.13,14034,15.2,7.09,0.587928223127691,68,25
1622,1222,10.13,13745.5,15.12,8.435,0.587928223127692,68,25
1623,1216,10.13,13700.5,15.01,4.11,0.590647697731287,68,26
1624,1225,10.13,13676,14.94,4.43,0.590702408342068,67,26
1625,1254,10.13,13809.5,14.87,4.275,0.587291799868858,66,27
1626,1246,10.13,13759.5,14.74,6.68,0.583935902006431,67,28
1627,1263,10.13,13709.5,14.59,7.485,0.580580004144002,66,28
1628,1255,10.13,14016.5,14.55,4.085,0.577744887729438,66,29
1629,1250,10.13,13926,14.37,6.615,0.57744464160972,65,30
1630,1262,10.13,13879.5,14.27,6.44,0.57403403313651,65,30
1631,1293,10.13,14298.5,14.28,2.885,0.580164116213315,65,30
1632,1293,10.13,14334.5,14.23,7.35,0.579863870093597,66,30
1633,1287,10.13,14335,14.17,8.195,0.582583344697193,66,31
1634,1287,10.13,14363,14.02,7.265,0.582638055307974,65,31
1635,1300,10.13,14507,14.13,5.41,0.58517292560282,66,31
1636,1311,10.13,14713.5,14.42,5.8,0.59072751662098,66,29
1637,1273,10.13,14551.5,14.35,8.35,0.590973052129917,65,29
1638,1290,10.13,14428.5,14.22,7.755,0.585418461111757,65,30
1639,1312,10.13,14585.5,14.13,5.83,0.585118214992039,65,30
1640,1298,10.13,14671,14.29,6.27,0.588528823465248,65,29
1641,1333,10.13,14824.5,14.18,6.92,0.588583534076029,64,29
1642,1331,10.13,15260,14.39,4.22,0.591363939879813,64,28
1643,1297,10.13,15040.5,14.24,8.18,0.59160947538875,63,28
1644,1266,10.13,14782.5,14.19,7.52,0.588198866915541,63,29
1645,1250,10.13,14397,14.26,7.875,0.588444402424478,64,29
1646,1258,10.13,14299.5,14.3,5.13,0.582889811406317,63,29
1647,1234,10.13,13816,14.19,9.185,0.582944522017099,64,29
1648,1250,10.13,13951,14.42,3.49,0.587962465187025,66,28
1649,1248,10.13,13867,14.37,7.385,0.590736650401402,65,28
1650,1250,10.13,13943.5,14.31,5.12,0.590791361012183,64,27
1651,1258,10.13,14116.5,14.32,5.07,0.587435463149755,65,28
1652,1282,10.13,14466,14.3,2.875,0.584715988546159,65,28
1653,1275,10.13,14223.5,14.45,8.655,0.587826350899651,66,28
1654,1318,10.13,14483.5,14.36,5.885,0.587826350899651,65,27
1655,1328,10.13,14854,14.35,5.8,0.584470453037223,65,28
1656,1322,10.13,15078,14.51,6.57,0.589543106817931,65,28
1657,1319,10.13,15282,14.62,6.16,0.589543106817931,65,28
1658,1290,10.13,15068,14.52,7.91,0.589788642326867,66,28
1659,1266,10.13,14855,14.57,5.82,0.592623758741432,67,28
1660,1219,10.13,14147,14.51,8.8,0.592623758741432,67,27
1661,1233,10.13,13765.5,14.49,7.62,0.592623758741432,66,28
1662,1260,10.13,13963,14.43,2.33,0.589213150268223,66,29
1663,1247,10.13,13993.5,14.48,4.205,0.586378033853658,67,29
1664,1196,10.13,13786.5,14.53,5.815,0.588912904148504,67,29
1665,1164,10.13,13197,14.55,7.71,0.588912904148505,66,29
1666,1180,10.13,12899,14.38,5.21,0.591932624871818,65,29
1667,1193,10.13,13082,14.39,1.435,0.5916323787521,65,28
1668,1164,10.13,12734.5,14.5,5.905,0.5916323787521,67,28
1669,1142,10.13,12540.5,14.69,2.695,0.595042987225309,67,27
1670,1149,10.13,12510.5,14.91,1.945,0.597823393029093,67,25
1671,1136,10.13,12149.5,14.86,6.365,0.597823393029093,66,25
1672,1136,10.13,12069.5,14.81,3.2,0.597768682418312,67,26
1673,1140,10.13,11797.5,14.76,6.275,0.597768682418312,66,26
1674,1181,10.13,12310,14.7,0.085,0.592696028637604,65,26
1675,1206,10.13,12682.5,14.66,2.77,0.592696028637604,65,27
1676,1177,10.13,12941,14.55,2.72,0.586565945560799,64,28
1677,1204,10.13,13094.5,14.45,3.42,0.583155337087589,64,29
1678,1207,10.13,12866,14.55,7.38,0.586265699441081,65,28
1679,1214,10.13,12899.5,14.51,5.97,0.5862109888303,66,28
1680,1244,10.13,13126.5,14.77,5.535,0.589321351183791,69,28
1681,1207,10.13,13301.5,14.73,5.79,0.592341071907104,68,27
1682,1256,10.13,13582.5,14.53,4.23,0.589230709553613,67,28
1683,1269,10.13,13826.5,14.58,4.485,0.592641318026822,68,27
1684,1284,10.13,13934,14.77,6.675,0.589921843423227,68,26
1685,1290,10.13,14161,14.64,5.28,0.589921843423227,67,27
1686,1303,10.13,14624,14.61,4.505,0.586511234950018,66,27
1687,1293,10.13,14867,14.53,4.755,0.583100626476808,65,28
1688,1298,10.13,14999,14.45,5.53,0.57974472861438,64,29
1689,1292,10.13,14913.5,14.32,6.17,0.576909612199815,63,30
1690,1272,10.13,14564.5,14.41,9.105,0.57974472861438,64,30
1691,1269,10.13,14689,14.28,4.57,0.57974472861438,65,30
1692,1286,10.13,14645,14.37,5.71,0.581406773921879,66,30
1693,1282,10.13,14643,14.27,5.305,0.581652309430815,65,30
1694,1287,10.13,14680,14.09,5.405,0.581597598820034,65,31
1695,1308,10.13,14630,14.23,7.765,0.581597598820034,66,30
1696,1305,10.13,14720.5,14.44,7.26,0.584432715234599,67,29
1697,1306,10.13,14925.5,14.33,5.31,0.581022106761389,66,29
1698,1265,10.13,14771.5,14.43,6.865,0.584378004623818,67,28
1699,1277,10.13,14719.5,14.37,5.16,0.584678250743536,67,28
1700,1276,10.13,14545.5,14.42,7.075,0.584678250743536,67,28
1701,1262,10.13,14345.5,14.66,7.355,0.588088859216745,68,27
1702,1255,10.13,14282.5,14.47,6.25,0.588389105336463,67,27
1703,1215,10.13,13791,14.4,8.325,0.585278742982972,66,28
1704,1187,10.13,13384,14.21,7.43,0.585278742982972,65,29
1705,1156,10.13,13036.5,14.18,6.38,0.585033207474035,65,30
1706,1149,10.13,12632.5,14.18,5.62,0.585033207474035,65,30
1707,1143,10.13,12215,14.06,6.24,0.587807392688412,64,30
1708,1156,10.13,12320.5,14.06,1.95,0.587807392688412,64,30
1709,1178,10.13,12451.5,14.21,2.855,0.593937475765217,64,28
1710,1172,10.13,12468.5,14.32,4.895,0.594512967823862,64,27
1711,1178,10.13,12864,14.37,0.63,0.59445825721308,65,27
1712,1186,10.13,12597,14.27,7.525,0.594758503332799,64,27
1713,1186,10.13,12821.5,14.39,2.43,0.598169111806008,65,27
1714,1191,10.13,12892,14.7,3.58,0.601004228220572,65,26
1715,1213,10.13,13101,14.74,4.085,0.601004228220573,65,26
1716,1205,10.13,13181.5,14.58,4.24,0.596231820559582,64,27
1717,1197,10.13,13253,14.54,3.82,0.595931574439865,64,27
1718,1194,10.13,13196.5,14.64,4.98,0.599287472302293,65,27
1719,1144,10.13,12721,14.55,7.765,0.595876863829083,66,28
1720,1092,10.13,12101.5,14.54,6.555,0.596177109948802,66,27
1721,1111,10.13,11824.5,14.65,3.335,0.595601617890157,66,26
1722,1130,10.13,11820.5,14.49,1.735,0.595601617890157,65,26
1723,1180,10.13,12262,14.56,-0.435,0.598375803104533,66,26
1724,1184,10.13,12368,14.63,4.775,0.601156208908317,67,25
1725,1207,10.13,12648,14.52,2.34,0.601156208908317,66,25
1726,1213,10.13,12961,14.38,3.005,0.601156208908317,65,26
1727,1217,10.13,12947,14.37,6.205,0.597800311045889,65,26
1728,1180,10.13,12985.5,14.56,4.005,0.597800311045889,65,26
1729,1197,10.13,12970.5,14.37,5.57,0.594389702572679,64,27
1730,1189,10.13,12903.5,14.3,5.595,0.594389702572679,63,28
1731,1219,10.13,13090,14.3,2.99,0.594389702572679,63,28
1732,1175,10.13,12865,14.18,5.805,0.591033804710251,64,29
1733,1178,10.13,12720,14.04,4.635,0.591334050829969,63,28
1734,1167,10.13,12538,14.02,5.695,0.58792344235676,62,29
1735,1178,10.13,12446,14.22,5.065,0.590758558771324,63,28
1736,1176,10.13,12622,14.29,3.265,0.590703848160543,64,29
1737,1158,10.13,12688,14.15,3.08,0.587293239687334,64,30
1738,1129,10.13,12464,14.32,4.28,0.587293239687334,66,30
1739,1127,10.13,12043.5,14.49,5.48,0.590128356101898,67,28
1740,1145,10.13,11951.5,14.78,3.445,0.593238718455389,68,27
1741,1188,10.13,12114,14.85,3.175,0.592938472335671,68,27
1742,1203,10.13,12537.5,14.72,3.02,0.593184007844608,67,28
1743,1201,10.13,12845.5,14.74,3.6,0.589773399371399,68,29
1744,1204,10.13,12965.5,14.64,4.77,0.589718688760618,68,29
1745,1247,10.13,13437.5,14.57,2.185,0.589773399371399,67,28
1746,1245,10.13,13685,14.56,5.615,0.589718688760618,67,28
1747,1252,10.13,13995.5,14.44,3.735,0.589718688760618,67,28
1748,1247,10.13,13755.5,14.32,9.015,0.586999214157022,66,29
1749,1257,10.13,13619,14.22,8.46,0.586999214157022,66,30
1750,1276,10.13,13948,14.36,4.45,0.590409822630232,67,29
1751,1271,10.13,14101,14.43,6.77,0.593820431103441,67,29
1752,1235,10.13,14038,14.37,7.1,0.593820431103441,66,28
1753,1229,10.13,14010.5,14.33,4.3,0.59376572049266,65,27
1754,1265,10.13,14131,14.13,3.86,0.590745999769346,64,28
1755,1247,10.13,14024,14.29,5.97,0.590800710380127,63,27
1756,1210,10.13,13572.5,14.37,8.685,0.594211318853337,63,27
1757,1173,10.13,13148.5,14.38,7.16,0.594266029464118,62,27
1758,1150,10.13,12634,14.55,6.425,0.597621927326546,63,26
1759,1148,10.13,12297.5,14.75,6.29,0.597621927326546,64,25
1760,1145,10.13,11778.5,14.76,8.03,0.594266029464118,65,25
1761,1164,10.13,12180.5,14.79,0.105,0.597285750187431,65,25
1762,1170,10.13,12329,14.98,3.085,0.597285750187432,66,25
1763,1221,10.13,12976.5,14.89,0.95,0.594266029464118,66,26
1764,1215,10.13,13122.5,14.8,5.16,0.597040214678495,66,26
1765,1236,10.13,13352.5,14.75,5,0.592267807017505,66,26
1766,1244,10.13,13389.5,14.71,7.19,0.595287527740818,66,27
1767,1245,10.13,13381.5,14.58,7.46,0.592507121937035,65,28
1768,1270,10.13,13850.5,14.51,3.22,0.592452411326254,66,28
1769,1293,10.13,14289,14.73,4.13,0.590790366018755,67,28
1770,1292,10.13,14590.5,14.77,5.15,0.58807089141516,67,27
1771,1287,10.13,14998,14.6,2.63,0.587770645295442,66,27
1772,1312,10.13,15156,14.48,4.73,0.58771593468466,65,28
1773,1301,10.13,15055.5,14.38,6.94,0.582643280903952,66,29
1774,1302,10.13,14938.5,14.27,6.79,0.579232672430743,65,30
1775,1287,10.13,14732.5,14.15,7.785,0.573102589353938,65,31
1776,1276,10.13,14424,14.26,8.26,0.576458487216366,66,29
1777,1297,10.13,14317,14.05,8.415,0.573102589353938,65,30
1778,1324,10.13,14643.5,14.07,5.81,0.569691980880729,65,31
1779,1330,10.13,14961,13.93,6.33,0.566911575076945,64,32
1780,1317,10.13,15187.5,13.82,5.875,0.567211821196663,63,32
1781,1304,10.13,15385.5,13.87,4.145,0.570622429669873,63,31
1782,1268,10.13,14931.5,13.71,8.545,0.570622429669873,63,32
1783,1246,10.13,14438,13.61,7.355,0.570622429669873,63,32
1784,1233,10.13,13762.5,13.69,10.39,0.570622429669873,64,32
1785,1245,10.13,13582,13.75,7.225,0.570677140280654,63,33
1786,1245,10.13,13687,13.75,5.34,0.570677140280654,63,33
1787,1249,10.13,13947,13.85,3.4,0.570731850891435,64,32
1788,1262,10.13,13985.5,13.86,5.595,0.575749794061362,64,32
1789,1249,10.13,14127.5,13.95,4.06,0.58082244784207,64,31
1790,1255,10.13,14195.5,14.11,4.255,0.580522201722352,63,29
1791,1250,10.13,14074,14.27,5.27,0.580576912333132,63,29
1792,1223,10.13,13942.5,14.37,5,0.583987520806342,64,28
1793,1228,10.13,13774,14.33,6.095,0.583987520806342,64,28
1794,1247,10.13,13746,14.25,5.235,0.583987520806342,64,29
1795,1255,10.13,13799.5,14.41,5.24,0.586822637220907,66,29
1796,1246,10.13,13629.5,14.31,8.875,0.58404845200653,66,30
1797,1242,10.13,13777.5,14.29,5.235,0.580692554144102,66,30
1798,1273,10.13,14221,14.21,2.3,0.577918368929725,65,30
1799,1240,10.13,14237.5,14.37,3.82,0.582991022710433,65,29
1800,1217,10.13,13869,14.26,6.21,0.579635124848005,64,29
1801,1212,10.13,13382,14.48,8.245,0.582745487201496,66,27
1802,1206,10.13,13237.5,14.63,4.295,0.582991022710433,65,27
1803,1226,10.13,13520.5,14.43,2.135,0.576860939633628,64,28
1804,1246,10.13,13696,14.62,3.685,0.580271548106837,65,27
1805,1213,10.13,13603.5,14.55,5.105,0.580271548106837,64,28
1806,1177,10.13,13312.5,14.52,5.755,0.576860939633628,65,29
1807,1139,10.13,13084.5,14.42,3.185,0.576860939633628,65,30
1808,1154,10.13,12843.5,14.45,2.675,0.580216837496056,65,28
1809,1178,10.13,12664.5,14.28,4.79,0.576806229022847,65,29
1810,1211,10.13,12704.5,14.28,4.385,0.576751518412066,64,28
1811,1172,10.13,12849.5,14.31,2.62,0.580162126885275,65,28
1812,1191,10.13,12807,14.14,5.58,0.580107416274494,65,29
1813,1199,10.13,12609,14.15,7.205,0.576997053921002,65,29
1814,1202,10.13,12864,14.11,2.735,0.576751518412066,64,30
1815,1253,10.13,13606.5,13.95,0.015,0.571678864631357,63,31
1816,1221,10.13,13984,13.82,2.545,0.568959390027762,62,30
1817,1261,10.13,14085.5,13.75,4.575,0.568959390027762,62,30
1818,1234,10.13,13981.5,13.96,6.07,0.57231528789019,63,28
1819,1250,10.13,13834.5,13.8,6.255,0.572315287890191,62,29
1820,1235,10.13,13651,14.1,7.455,0.577387941670898,63,28
1821,1246,10.13,13643,14.14,5.895,0.580168347474682,63,28
1822,1246,10.13,13726.5,14.23,6.26,0.580413882983619,63,27
1823,1240,10.13,13954.5,14.5,3.42,0.580413882983619,65,27
1824,1218,10.13,13994,14.34,3.775,0.577003274510409,64,28
1825,1210,10.13,13661,14.22,5.86,0.577003274510409,63,28
1826,1199,10.13,13462.5,14.29,4.53,0.576948563899628,62,27
1827,1200,10.13,13230,14.29,5.04,0.57187591011892,63,28
1828,1239,10.13,13545,14.19,2.22,0.568465301645711,63,29
1829,1246,10.13,13715.5,14.13,3.995,0.565054693172501,65,30
1830,1256,10.13,14222,14.17,0.465,0.568465301645711,65,30
1831,1256,10.13,13942,14.25,8.635,0.57187591011892,66,29
1832,1263,10.13,14041.5,14.5,4.815,0.578005993195725,67,28
1833,1255,10.13,14171,14.31,3.87,0.578005993195725,66,29
1834,1242,10.13,13993.5,14.27,6.605,0.578005993195726,66,29
1835,1244,10.13,13971,14.06,5.63,0.578005993195725,65,30
1836,1201,10.13,13468.5,14.13,9.03,0.572933339415017,65,30
1837,1221,10.13,13381,14.12,5.355,0.572633093295299,64,30
1838,1243,10.13,13483,14.25,5.415,0.578763176372104,64,30
1839,1245,10.13,13673.5,14.43,4.725,0.578763176372104,66,29
1840,1183,10.13,13451.5,14.43,7.27,0.584893259448909,66,29
1841,1177,10.13,13120.5,14.43,6.66,0.584893259448909,66,27
1842,1212,10.13,12767.5,14.6,8.17,0.58323121414141,66,26
1843,1203,10.13,12769.5,14.68,5.675,0.589361297218216,66,26
1844,1174,10.13,12841,14.66,4.785,0.589361297218215,66,26
1845,1187,10.13,12776.5,14.84,5.655,0.594433950998923,66,25
1846,1209,10.13,12981,14.73,3.055,0.594379240388142,66,24
1847,1228,10.13,13203.5,14.91,3.105,0.594379240388142,67,25
1848,1245,10.13,13277.5,14.78,6.02,0.597398961111456,66,26
1849,1253,10.13,13678.5,14.9,3.565,0.597398961111456,66,25
1850,1296,10.13,14313.5,14.77,1.235,0.597398961111456,65,25
1851,1262,10.13,14381,14.73,5.775,0.589606832727152,68,26
1852,1271,10.13,14285.5,14.66,7.32,0.589907078846871,67,26
1853,1265,10.13,14245.5,14.78,5.87,0.593262976709299,67,25
1854,1270,10.13,14249,14.8,6.245,0.590488791494922,66,25
1855,1318,10.13,14777.5,14.71,3.025,0.590543502105703,65,25
1856,1355,10.13,15209.5,14.86,5.115,0.593899399968131,66,24
1857,1338,10.13,15348.5,15.17,7.005,0.59725529783056,67,24
1858,1349,10.13,15483.5,15.05,7.355,0.59725529783056,66,23
1859,1302,10.13,15168.5,14.97,11.24,0.597555543950278,66,24
1860,1275,10.13,14803.5,15.05,8.785,0.597555543950278,65,23
1861,1271,10.13,14496.5,15.05,7.855,0.600329729164654,65,23
1862,1254,10.13,14521.5,15.33,4.2,0.600329729164655,67,22
1863,1291,10.13,14392.5,15.29,7.185,0.600384439775436,68,23
1864,1303,10.13,14329,15.27,9.225,0.603404160498749,70,24
1865,1298,10.13,14538.5,15.26,6.015,0.603158624989812,70,25
1866,1277,10.13,14458,15.23,7.805,0.603213335600594,69,24
1867,1242,10.13,14058,15.08,9.86,0.603268046211374,68,24
1868,1222,10.13,13748,15.16,7.425,0.606678654684584,68,23
1869,1209,10.13,13344,15.12,8.51,0.603658933961271,68,22
1870,1189,10.13,12804.5,15.34,10.205,0.60706954243448,68,21
1871,1165,10.13,12801,15.39,3.78,0.607315077943417,69,20
1872,1196,10.13,12662.5,15.47,6.04,0.60229713477349,70,21
1873,1226,10.13,12856,15.43,4.355,0.60229713477349,69,22
1874,1244,10.13,12957,15.34,6.755,0.598886526300281,69,23
1875,1259,10.13,13324.5,15.27,5.085,0.593868583130354,68,24
1876,1290,10.13,14293,15.26,-0.275,0.596588057733949,68,25
1877,1266,10.13,14569.5,15.23,2.79,0.593813872519572,67,24
1878,1239,10.13,14429.5,15.17,5.79,0.593759161908791,67,25
1879,1280,10.13,14369.5,15.03,5.46,0.588686508128083,67,25
1880,1267,10.13,14139,14.91,8.125,0.588440972619146,67,24
1881,1301,10.13,14512,14.91,3.67,0.588495683229928,66,24
1882,1295,10.13,14881.5,14.72,4.015,0.588550393840709,65,25
1883,1318,10.13,15114,14.68,5.245,0.588850639960427,64,25
1884,1324,10.13,15175,14.59,5.99,0.58860510445149,63,25
1885,1321,10.13,15318,14.51,4.66,0.588550393840708,64,26
1886,1316,10.13,15373.5,14.77,5.215,0.591906291703137,65,26
1887,1349,10.13,15259.5,14.89,8.195,0.591906291703137,65,24
1888,1372,10.13,15604,14.84,5.215,0.592151827212074,65,24
1889,1371,10.13,16128,15.01,4.03,0.58913210648876,65,23
1890,1364,10.13,16151.5,15.03,8.13,0.590794151796259,65,23
1891,1348,10.13,15832,15,9.995,0.593513626399854,65,23
1892,1397,10.13,16029,14.98,5.925,0.593513626399854,66,23
1893,1405,10.13,16281.5,15.01,7.315,0.593513626399855,67,23
1894,1392,10.13,16397.5,14.9,8.975,0.593513626399855,67,24
1895,1355,10.13,16177,15.02,10.065,0.593458915789073,68,24
1896,1311,10.13,16035,15.14,6.89,0.593458915789073,68,24
1897,1309,10.13,15771.5,15.36,6.58,0.598531569569781,69,23
1898,1299,10.13,15186,15.32,9.685,0.595120961096572,71,24
1899,1332,10.13,15144.5,15.31,6.135,0.595175671707353,72,25
1900,1352,10.13,15348.5,15.45,6.265,0.598286034060844,72,24
1901,1364,10.13,15645,15.36,5.915,0.592155950984039,72,24
1902,1347,10.13,15836.5,15.33,6.53,0.588800053121611,71,25
1903,1347,10.13,15665.5,15.15,10.405,0.584027645460621,70,25
1904,1328,10.13,15534.5,15.01,8.395,0.58397293484984,69,26
1905,1322,10.13,15598,14.98,5.835,0.581253460246244,68,25
1906,1325,10.13,15560.5,15.14,6.485,0.587383543323049,68,24
1907,1300,10.13,15235.5,15.08,7.595,0.587383543323049,68,25
1908,1300,10.13,15126,15.06,6.235,0.587683789442768,68,24
1909,1296,10.13,14891.5,15.07,8.11,0.590403264046363,67,24
1910,1265,10.13,14495,14.9,9.62,0.587629078831986,67,25
1911,1259,10.13,14396.5,14.78,6.46,0.584273180969558,68,26
1912,1265,10.13,14291,14.84,6.38,0.584273180969558,68,26
1913,1279,10.13,14153,14.71,7.74,0.57920052718885,67,26
1914,1286,10.13,14117.5,14.54,7.425,0.574127873408142,66,27
1915,1286,10.13,14388,14.39,4.385,0.574073162797361,65,28
1916,1288,10.13,14636,14.23,4.89,0.574073162797361,64,29
1917,1250,10.13,14168.5,14.02,9.555,0.576792637400957,63,30
1918,1213,10.13,13927.5,14.12,6.425,0.573772916677643,62,28
1919,1204,10.13,13574.5,14.26,6.43,0.577183525150853,63,26
1920,1243,10.13,13576.5,14.31,5.1,0.578845570458351,64,26
1921,1225,10.13,13502.5,14.34,5.595,0.575489672595923,64,27
1922,1240,10.13,13497,14.43,5.22,0.577151717903422,64,27
1923,1213,10.13,13309,14.24,7.635,0.573741109430212,63,28
1924,1205,10.13,13152.5,14.31,7.415,0.570966924215835,64,28
1925,1195,10.13,13223.5,14.15,3.89,0.570966924215835,63,29
1926,1198,10.13,13280.5,14.09,3.25,0.567611026353407,63,29
1927,1148,10.13,12774.5,14.29,7.09,0.570145896648253,64,28
1928,1146,10.13,12298,14.18,7.115,0.570200607259034,63,29
1929,1136,10.13,12035.5,14.21,5.655,0.570255317869816,62,29
1930,1125,10.13,11997,14.22,2.895,0.570500853378753,63,30
1931,1081,10.13,11772,14.17,3.495,0.570555563989534,64,28
1932,1114,10.13,11703,14.09,2.86,0.570610274600315,63,28
1933,1106,10.13,11484,14.22,3.7,0.578402402984618,64,27
1934,1094,10.13,11314,14.19,3.145,0.572272319907813,64,28
1935,1107,10.13,11294,14.33,2.985,0.573934365215312,65,28
1936,1111,10.13,11212.5,14.22,4.16,0.57387965460453,64,28
1937,1112,10.13,11287,14.35,3.41,0.57729026307774,64,27
1938,1130,10.13,11445.5,14.26,2.885,0.576990016958022,64,28
1939,1146,10.13,11879.5,14.22,0.145,0.574270542354426,63,27
