Ticks,GreenPatches,K,TotalBM,k.i,Payoffs,beta.i,highMinCut,lowMinCut
1230,1303,10.13,14892.5,15.85,6.48,0.611817261866609,70,18
1231,1356,10.13,15048.5,15.71,6.825,0.612542681730514,70,19
1232,1351,10.13,15289.5,15.53,6.92,0.609132073257305,69,20
1233,1297,10.13,14947.5,15.34,10.845,0.608706899513118,68,21
1234,1299,10.13,14979.5,15.52,7.265,0.608761610123899,68,20
1235,1323,10.13,15215.5,15.44,3.91,0.600969481739596,68,21
1236,1279,10.13,14781.5,15.26,10.225,0.595896827958888,68,22
1237,1261,10.13,14540.5,15.2,7.81,0.595596581839169,67,23
1238,1245,10.13,14259,15.27,7.085,0.595171408094982,67,22
1239,1245,10.13,13896.5,15.26,7.4,0.595171408094982,67,22
1240,1218,10.13,13524,15.19,7.66,0.592151687371669,67,22
1241,1189,10.13,13309.5,15.11,6.115,0.592451933491386,66,23
1242,1217,10.13,13319.5,15.31,4.285,0.595287049905951,67,22
1243,1216,10.13,13357.5,15.51,4.205,0.598697658379161,67,20
1244,1241,10.13,13470,15.59,5.32,0.593925250718171,67,20
1245,1204,10.13,13339.5,15.49,6.325,0.593925250718171,66,20
1246,1177,10.13,13187.5,15.46,5.195,0.591630949858762,68,20
1247,1218,10.13,13071,15.66,5.66,0.591330703739044,69,20
1248,1266,10.13,13589.5,15.76,1.29,0.586258049958337,68,21
1249,1280,10.13,13924.5,15.91,4.865,0.589668658431545,71,21
1250,1283,10.13,14146.5,15.78,6.605,0.589668658431545,70,22
1251,1295,10.13,14462.5,15.71,4.985,0.589914193940483,70,22
1252,1320,10.13,14774,15.78,4.765,0.589859483329701,71,22
1253,1320,10.13,15231.5,15.71,2.76,0.589559237209983,70,22
1254,1321,10.13,15336,15.56,5.66,0.584486583429275,70,23
1255,1308,10.13,14999.5,15.54,9.495,0.584732118938212,69,22
1256,1291,10.13,14722,15.64,8.285,0.58521200329318,69,22
1257,1280,10.13,14651,15.67,6.355,0.584786829548993,70,22
1258,1266,10.13,14674.5,15.75,4.935,0.589559237209983,71,21
1259,1276,10.13,14481,16.07,7.125,0.59457718037991,74,20
1260,1225,10.13,14246.5,16.2,6.215,0.593851760516005,74,19
1261,1219,10.13,13942.5,15.99,6.34,0.588833817346078,73,20
