sheep.1,wolves.1,sheep.2,wolves.2,sheep.3,wolves.3,sheep.4,wolves.4,sheep.5,wolves.5,sheep.6,wolves.6,sheep.7,wolves.7,sheep.8,wolves.8,sheep.9,wolves.9,sheep.10,wolves.10
446,11,404,5,396,3,533,0,333,18,232,0,460,1,299,3,354,2,244,0
464,12,422,6,410,3,554,0,342,20,244,0,472,1,311,3,371,3,256,0
485,12,436,6,419,3,573,0,352,20,251,0,487,1,324,4,385,4,266,0
498,12,452,6,434,3,602,0,364,19,263,0,504,1,332,4,393,4,279,0
511,12,469,6,450,3,624,0,384,21,272,0,516,2,347,5,408,4,295,0
532,10,487,6,470,3,653,0,394,21,290,0,533,2,359,5,425,4,303,0
552,10,501,7,484,4,681,0,413,20,299,0,544,2,373,4,435,4,310,0
570,11,514,7,499,5,709,0,428,20,311,0,566,2,393,5,452,4,323,0
593,11,533,7,517,5,732,0,441,21,326,0,582,3,408,5,465,4,336,0
618,11,554,5,531,5,756,0,453,21,343,0,607,3,422,6,482,6,353,0
639,11,575,5,553,6,787,0,459,22,355,0,627,4,441,7,497,6,360,0
663,14,612,4,571,6,809,0,477,24,373,0,652,4,459,8,516,6,371,0
684,15,635,4,591,7,836,0,492,27,386,0,678,4,470,8,530,7,385,0
708,15,660,4,604,7,873,0,504,28,400,0,707,5,490,8,550,7,403,0
731,15,688,4,626,7,918,0,516,32,413,0,735,5,505,9,564,7,409,0
754,16,704,4,647,8,958,0,527,34,427,0,760,5,522,10,581,9,431,0
782,18,727,4,675,8,1001,0,542,33,444,0,795,5,539,10,603,9,446,0
826,18,755,4,704,8,1037,0,562,33,461,0,833,5,558,9,625,9,461,0
854,18,782,4,733,8,1085,0,572,34,478,0,869,5,569,9,640,9,476,0
878,18,808,5,764,8,1116,0,593,35,496,0,907,5,590,9,664,9,499,0
915,19,838,5,787,9,1158,0,609,36,518,0,943,5,614,10,689,10,519,0
941,19,868,5,819,10,1208,0,629,40,538,0,972,6,640,10,717,12,535,0
973,21,903,5,845,12,1263,0,647,42,560,0,1010,6,657,11,735,13,557,0
999,22,947,5,878,13,1323,0,652,43,577,0,1051,6,675,11,760,15,580,0
1037,22,979,5,909,13,1357,0,663,46,606,0,1089,8,694,12,787,15,603,0
1075,25,1028,5,935,13,1414,0,679,48,631,0,1121,8,709,12,814,15,619,0
1103,30,1073,5,966,14,1472,0,686,52,658,0,1162,8,727,14,839,15,648,0
1123,33,1109,6,1000,15,1550,0,705,53,683,0,1205,9,758,14,868,16,670,0
1152,37,1142,6,1034,15,1604,0,716,53,710,0,1250,11,786,14,891,17,704,0
1188,37,1186,6,1075,17,1693,0,729,56,747,0,1291,12,812,15,904,20,733,0
1219,39,1226,6,1102,18,1758,0,750,58,780,0,1341,12,839,15,921,21,767,0
1253,41,1271,6,1144,19,1829,0,767,60,813,0,1392,12,858,16,951,21,808,0
1273,41,1322,6,1192,20,1908,0,776,62,836,0,1448,13,889,16,979,22,834,0
1303,43,1368,6,1227,20,1978,0,791,67,870,0,1490,14,939,16,1001,22,865,0
