"","variableValue","K","unsatisfied","Payoffs","TotalBM","GreenPatches","beta.i","k.i","numLoggers","numCheaters","param"
"1","1",0,26,6.09210526315789,0.554103131762891,0.59438677431757,-0.0652239373497556,0,0.76,0,"rt"
"2","1",0,26,1.64457831325301,0.464086956521739,0.529411764705882,-0.053907932795968,0,0.83,0,"rt"
"3","1",0,30,3.93670886075949,0.502102565378586,0.544405997693195,0.0717300692138317,0,0.79,0,"rt"
"4","1",0,34,-0.372093023255814,0.412331882911392,0.483275663206459,0.0993645139508531,0,0.86,0,"rt"
"5","1",0,30,-1.26785714285714,0.43111314999876,0.495578623606305,0.0809742577767708,0,0.84,0,"rt"
"6","1",0,24,4.92261904761905,0.418121546961326,0.492502883506344,-0.0974466350169872,0,0.84,0,"rt"
"7","1",0,33,-0.359756097560976,0.408113137327875,0.47597078046905,0.0160060887886488,0,0.82,0,"rt"
"8","1",0,30,4.02631578947368,0.508917466792697,0.555940023068051,-7.83293995227059e-05,0,0.76,0,"rt"
"9","1",0,25,5.28313253012048,0.438485569770902,0.494809688581315,0.0156493185199529,0,0.83,0,"rt"
"10","1",0,25,10.4383561643836,0.572307692307692,0.597462514417532,0.0238255235424947,0,0.73,0,"rt"
"11","1",0,34,2.2,0.504687229463999,0.549404075355632,-0.0752111929079238,0,0.8,0,"rt"
"12","1",0,31,2.93529411764706,0.40812501551523,0.484429065743945,0.0711462250107859,0,0.85,0,"rt"
"13","1",0,26,3.95569620253165,0.495406465709887,0.535563244905805,-0.100462978384121,0,0.79,0,"rt"
"14","1",0,32,2.47647058823529,0.435822665941778,0.516724336793541,-0.0205938077941962,0,0.85,0,"rt"
"15","1",0,26,1.86470588235294,0.451486231235709,0.504421376393695,0.0496972041997266,0,0.85,0,"rt"
"16","1",0,35,-1.64367816091954,0.399623310436517,0.471357170319108,0.126419291816568,0,0.87,0,"rt"
"17","1",0,26,4.29487179487179,0.506628741033886,0.559015763168012,-0.0381731981280056,0,0.78,0,"rt"
"18","1",0,29,2.53703703703704,0.458532338308458,0.502883506343714,0.0314530061041633,0,0.81,0,"rt"
"19","1",0,33,3.01190476190476,0.428153842326542,0.480968858131488,0.126988764900775,0,0.84,0,"rt"
"20","1",0,38,3.04,0.558480473490008,0.580930411380238,-0.0593019878458336,0,0.75,0,"rt"
"21","1",0,23,2.83333333333333,0.418998837007893,0.500192233756248,-0.0612593106908297,0,0.84,0,"rt"
"22","1",0,33,4.95783132530121,0.461839069051932,0.531334102268358,0.111259812480806,0,0.83,0,"rt"
"23","1",0,33,-5.24137931034483,0.3138693367701,0.391387927720108,-0.0530477979347357,0,0.87,0,"rt"
"24","1",0,33,5.94936708860759,0.493550217048145,0.540561322568243,-0.0156040781971781,0,0.79,0,"rt"
"25","1",0,24,3.19047619047619,0.443440612643275,0.497116493656286,0.0964706120856246,0,0.84,0,"rt"
"26","1",0,23,4.74698795180723,0.442759392883802,0.50480584390619,-0.0420762556839837,0,0.83,0,"rt"
"27","1",0,27,2.67857142857143,0.442284189259971,0.49519415609381,0.0639662610729862,0,0.84,0,"rt"
"28","1",0,27,9.84666666666667,0.559564719358534,0.580930411380238,-0.0470460074896581,0,0.75,0,"rt"
"29","1",0,23,10.7928571428571,0.610693328073376,0.62475970780469,0.0355927727453247,0,0.7,0,"rt"
"30","1",0,32,5.53246753246753,0.546122977991575,0.579777008842753,0.00960101981448989,0,0.77,0,"rt"
"31","1",0,23,7.34027777777778,0.594341262352883,0.620530565167243,-0.0730312417005164,0,0.72,0,"rt"
"32","1",0,19,9.25757575757576,0.686661892178895,0.694348327566321,-0.128330510995483,0,0.66,0,"rt"
"33","1",0,29,0.430232558139535,0.417420899094921,0.482122260668973,0.0785051172122602,0,0.86,0,"rt"
"34","1",0,33,-0.444444444444444,0.461183314766679,0.523260284505959,0.0813051551576418,0,0.81,0,"rt"
"35","1",0,29,1.46913580246914,0.443750155283361,0.503652441368704,-0.0619115152393281,0,0.81,0,"rt"
"36","1",0,23,5.1,0.530525741764371,0.578239138792772,-0.0142763926280099,0,0.8,0,"rt"
"37","1",0,30,-2.24137931034483,0.354231584195438,0.415609381007305,0.0161670524659547,0,0.87,0,"rt"
"38","1",0,25,0.837349397590361,0.436810656043819,0.504421376393695,0.0127116665000564,0,0.83,0,"rt"
"39","1",0,25,10.4384615384615,0.668618208881171,0.660515186466744,-0.0624203681126817,0,0.65,0,"rt"
"40","1",0,27,-0.156976744186047,0.397960698906103,0.467896962706651,0.0273188468384813,0,0.86,0,"rt"
"41","1",0,24,4.17901234567901,0.472699082113619,0.52479815455594,-0.080158653893645,0,0.81,0,"rt"
"42","1",0,34,1.92857142857143,0.412517657554955,0.482506728181469,0.0690515888065942,0,0.84,0,"rt"
"43","1",0,25,5.34666666666667,0.526945216355697,0.562475970780469,-0.0463864923140978,0,0.75,0,"rt"
