"","variableValue","K","unsatisfied","Payoffs","TotalBM","GreenPatches","beta.i","k.i","numLoggers","numCheaters","param","depleted","lowK"
"43","0",12.66,37,-3.255,0.130929720910686,0.286043829296424,0.48655332984848,14.45,1,29,"monitoring",FALSE,FALSE
"44","0",8.62,24,-23.2,0.0685466809368544,0.191849288735102,0.590644590208713,18.02,1,21,"monitoring",TRUE,TRUE
"45","0",13,39,-5.755,0.146427778736837,0.300269127258747,0.38146335806666,12.89,1,33,"monitoring",FALSE,FALSE
"46","0",7.79,28,-25.25,0.0474710857931987,0.145328719723183,0.462614591631528,17.11,1,17,"monitoring",TRUE,TRUE
"47","0",12.54,42,-9.785,0.128984826768151,0.271049596309112,0.46808267426173,13.09,1,34,"monitoring",FALSE,FALSE
"48","0",12.63,38,-3.175,0.134890253299858,0.281430219146482,0.376702364646199,11.89,1,37,"monitoring",FALSE,FALSE
"49","0",13.44,52,-11.91,0.138099136647812,0.294117647058824,0.375596497709118,12.59,1,47,"monitoring",FALSE,FALSE
"50","0",13.06,41,-11.685,0.136737525395174,0.283737024221453,0.416106258536859,10.51,1,29,"monitoring",FALSE,FALSE
"51","10",12.14,34,-10.625,0.139381135827016,0.293733179546328,0.471409023766202,12.51,1,26,"monitoring",FALSE,FALSE
"52","10",12.8,42,-10.54,0.130880999178962,0.282199154171473,0.465830048038272,14.6,1,30,"monitoring",FALSE,FALSE
"53","10",12.14,46,-15.72,0.118874139135642,0.259900038446751,0.422195972875339,12.02,1,33,"monitoring",FALSE,FALSE
"54","10",12.8,42,-7.88,0.12269224097341,0.264513648596694,0.464469158563496,13.42,1,34,"monitoring",FALSE,FALSE
"55","10",11.27,31,-9.345,0.108528473578794,0.24721261053441,0.440385277552149,15.8,1,33,"monitoring",FALSE,FALSE
"56","10",13.05,41,-5.29,0.147496784406847,0.294502114571319,0.425454781787852,12.89,1,40,"monitoring",FALSE,FALSE
"57","10",7.81,23,-26,0.044565486506561,0.141484044598231,0.468831851614794,16.86,1,17,"monitoring",TRUE,TRUE
"58","10",11.56,41,-10.755,0.118535548304163,0.262975778546713,0.341069198388378,13.27,1,27,"monitoring",FALSE,FALSE
"59","10",12.97,41,-12.71,0.124255583126551,0.274125336409073,0.50619366664885,14.48,1,32,"monitoring",FALSE,FALSE
"60","10",13.27,41,-6.44,0.146251831251707,0.297193387158785,0.478148390686488,14.06,1,34,"monitoring",FALSE,FALSE
"61","10",7.71,21,-26.575,0.0438830444016398,0.133794694348328,0.584778430883084,17.87,1,15,"monitoring",TRUE,TRUE
"62","10",11.98,40,-9.255,0.111705412950565,0.259515570934256,0.401447525702398,13.25,1,26,"monitoring",FALSE,FALSE
"63","10",13.15,41,-9.405,0.158581996921702,0.31603229527105,0.464747855927478,12.97,1,31,"monitoring",FALSE,FALSE
"64","10",7.95,30,-24.465,0.0432789085215835,0.139946174548251,0.53390775811728,17.15,1,12,"monitoring",TRUE,TRUE
"65","10",12.98,37,-5.62,0.126865486330113,0.271818531334102,0.500597990205463,17.24,1,23,"monitoring",FALSE,FALSE
"66","10",11.62,42,-12.2,0.113065577038071,0.25682429834679,0.392850056681772,13.5,1,21,"monitoring",FALSE,FALSE
"67","10",13.2,32,-1.985,0.143489902655089,0.288735101883891,0.506462723726644,15.22,1,34,"monitoring",FALSE,FALSE
"68","10",13.24,37,-5.875,0.137479521421834,0.281814686658977,0.441144196126,14.07,1,33,"monitoring",FALSE,FALSE
"69","10",11.19,34,-14.015,0.109547976217131,0.24721261053441,0.455445585144636,16.93,1,27,"monitoring",FALSE,FALSE
"70","10",12.35,42,-9.055,0.127215111221573,0.269896193771626,0.393392785238427,13.62,1,33,"monitoring",FALSE,FALSE
"71","10",7.75,27,-26.245,0.0538424988121139,0.165705497885429,0.628025112689574,17.76,1,12,"monitoring",TRUE,TRUE
"72","10",8.39,30,-22.74,0.0539101579911842,0.158785082660515,0.548261079339196,17.04,1,15,"monitoring",TRUE,TRUE
"73","10",12.63,38,-5.78,0.139846031981781,0.298346789696271,0.41991354391851,11.98,1,35,"monitoring",FALSE,FALSE
"74","10",12.69,38,-9.4,0.132082495718859,0.280661284121492,0.478609233299157,13.39,1,18,"monitoring",FALSE,FALSE
"75","10",12.86,41,-9.85,0.134913186297513,0.292964244521338,0.447867720532491,13.71,1,33,"monitoring",FALSE,FALSE
"76","10",7.74,33,-29.62,0.0456919386276176,0.143790849673203,0.509334941239775,17.84,1,16,"monitoring",TRUE,TRUE
