"","variableValue","K","unsatisfied","Payoffs","TotalBM","GreenPatches","beta.i","k.i","numLoggers","numCheaters","param","depleted","lowK"
"45","5",0.66,51,-46.325,0.00715654952076677,0.011918492887351,0.418352533713833,3.27,1,0,"mtg",TRUE,TRUE
"46","5",0.79,54,-46.71,0.00911631907116749,0.0134563629373318,0.473947792857954,3.64,1,0,"mtg",TRUE,TRUE
"47","5",0.91,60,-46.26,0.00619843542940196,0.0115340253748558,0.458645975028755,3.84,1,0,"mtg",TRUE,TRUE
"48","5",0.89,58,-46.21,0.00308840561060353,0.00538254517493272,0.473240076554574,3.71,1,0,"mtg",TRUE,TRUE
"49","5",0.7,54,-45.895,0.00324883512161758,0.0065359477124183,0.432617277036769,3.24,1,0,"mtg",TRUE,TRUE
"50","5",1.08,51,-46.535,0.0061305291838733,0.0107650903498654,0.558885176304885,3.5,1,0,"mtg",TRUE,TRUE
"51","10",5.72,16,-32.45,0.0548561581542291,0.110726643598616,0.426611995572252,7.96,1,2,"mtg",TRUE,TRUE
"52","10",5.91,22,-35.225,0.0500214684413912,0.0972702806612841,0.59194052228146,9.38,1,2,"mtg",TRUE,TRUE
"53","10",6.56,20,-29.635,0.0708697321685706,0.121107266435986,0.515966948372423,9.75,1,8,"mtg",TRUE,TRUE
"54","10",8.5,37,-24.47,0.117264390993327,0.169550173010381,0.480415971150266,9.65,1,7,"mtg",FALSE,TRUE
"55","10",6.43,16,-33.5,0.0582967218654951,0.107650903498654,0.499211768415698,9.7,1,1,"mtg",TRUE,TRUE
"56","10",6.09,18,-31.575,0.0524700239808154,0.100346020761246,0.531566495805267,9.36,1,1,"mtg",TRUE,TRUE
"57","10",5.65,17,-32.835,0.0520524351736676,0.0980392156862745,0.473756366316014,10.36,1,1,"mtg",TRUE,TRUE
"58","10",6.95,22,-31.285,0.0629343814408283,0.118800461361015,0.46368034076499,9.82,1,2,"mtg",TRUE,TRUE
"59","10",5.17,18,-34.175,0.0343861682604076,0.0730488273740869,0.542501784316433,9.38,1,4,"mtg",TRUE,TRUE
"60","10",7.33,42,-28.655,0.0859262805169938,0.141484044598231,0.415959344420191,8.01,1,9,"mtg",TRUE,TRUE
"61","10",4.81,19,-36.09,0.0313490158425348,0.0665128796616686,0.517930313489697,9.05,1,2,"mtg",TRUE,TRUE
"62","10",5.94,16,-35.645,0.0446127946127946,0.094963475586313,0.505828147925058,8.91,1,3,"mtg",TRUE,TRUE
"63","10",6.32,17,-30.855,0.0626440645409143,0.118800461361015,0.531630918718208,9.88,1,4,"mtg",TRUE,TRUE
"64","10",8.55,35,-21.515,0.112114950261906,0.173779315647828,0.61200107169739,9.59,1,8,"mtg",FALSE,TRUE
"65","10",4.57,11,-37.63,0.0313418453384727,0.0657439446366782,0.495776795751837,9.23,1,1,"mtg",TRUE,TRUE
"66","10",6.44,16,-32.695,0.0521153108211819,0.0941945405613226,0.413644480916763,8.28,1,0,"mtg",TRUE,TRUE
"67","10",6.3,19,-32.265,0.0535499398315283,0.102652825836217,0.437493239026222,9.15,1,3,"mtg",TRUE,TRUE
"68","10",5.37,16,-36.905,0.0421474436344325,0.0841983852364475,0.493920403451328,9.46,1,1,"mtg",TRUE,TRUE
"69","10",4.74,15,-37.325,0.0358081942917244,0.0838139177239523,0.613898897388038,9.05,1,4,"mtg",TRUE,TRUE
"70","10",5.11,16,-36.06,0.0365501300202254,0.0780469050365244,0.529498638607983,9.51,1,4,"mtg",TRUE,TRUE
"71","10",6.78,36,-30.52,0.0723997117463368,0.1280276816609,0.434712175668791,7.93,1,10,"mtg",TRUE,TRUE
"72","10",5.48,11,-35.965,0.0362210784549521,0.0826605151864667,0.549990511292569,8.9,1,1,"mtg",TRUE,TRUE
"73","10",7.1,34,-28,0.0758436431906802,0.132256824298347,0.512745630820591,9.4,1,1,"mtg",TRUE,TRUE
"74","10",5.87,25,-34.92,0.044992288413341,0.0876585928489043,0.518957976349718,9.95,1,2,"mtg",TRUE,TRUE
"75","10",6.05,17,-31.895,0.0584156031784252,0.111111111111111,0.44762511440248,9.48,1,6,"mtg",TRUE,TRUE
"76","10",5.44,14,-36.23,0.0391789251033554,0.0845828527489427,0.53015797613942,9.69,1,1,"mtg",TRUE,TRUE
"77","10",4.48,17,-39.345,0.0263322281485753,0.0638216070742022,0.494806842121619,7.98,1,2,"mtg",TRUE,TRUE
"78","10",5.81,16,-36.255,0.0452675892770735,0.0907343329488658,0.417634867049214,8.65,1,2,"mtg",TRUE,TRUE
"79","10",8.75,35,-23.03,0.13840631730079,0.204536716647443,0.46024363407232,9.21,1,9,"mtg",FALSE,TRUE
"80","10",6.41,25,-33.405,0.0568072405160793,0.105344098423683,0.573037602420615,9.86,1,2,"mtg",TRUE,TRUE
"81","10",4.91,12,-35.14,0.037043277331151,0.0795847750865052,0.470166649887732,9.36,1,2,"mtg",TRUE,TRUE
"82","10",5.56,12,-34.115,0.0423663385446825,0.0807381776239908,0.474414592365891,9.02,1,4,"mtg",TRUE,TRUE
"83","10",6.13,21,-32.24,0.0556461280268521,0.106497500961169,0.500394070716776,9.79,1,1,"mtg",TRUE,TRUE
"84","10",6.55,19,-29.78,0.0651545796012713,0.11918492887351,0.477135083589215,9.62,1,3,"mtg",TRUE,TRUE
"85","10",5.76,20,-33.345,0.0448820037642971,0.0938100730488274,0.547442153627787,9.92,1,4,"mtg",TRUE,TRUE
"86","10",4.45,18,-41.11,0.0241282989790021,0.0572856593617839,0.553386578723079,8.83,1,2,"mtg",TRUE,TRUE
"87","10",6.55,14,-29.79,0.070216753977027,0.129181084198385,0.437866655826958,7.86,1,4,"mtg",TRUE,TRUE
"88","10",5.18,15,-36.935,0.035405872193437,0.077277970011534,0.469240626270303,9.81,1,1,"mtg",TRUE,TRUE
"89","10",6.38,21,-33.05,0.0674297806848788,0.124567474048443,0.439868606844492,7.83,1,10,"mtg",TRUE,TRUE
"90","10",6.4,12,-32.665,0.050321613386855,0.0984236831987697,0.382423346818586,8.61,1,4,"mtg",TRUE,TRUE
"91","10",6.33,13,-31.535,0.0593049488791821,0.10880430603614,0.485923587677318,9.86,1,3,"mtg",TRUE,TRUE
"92","10",4.87,15,-36.565,0.0332163630245638,0.0718954248366013,0.523159008781619,9.85,1,0,"mtg",TRUE,TRUE
"93","10",6.34,24,-30.595,0.0594114247182352,0.110726643598616,0.463060207852921,9.79,1,2,"mtg",TRUE,TRUE
"94","10",4.98,19,-39.38,0.0289753841707211,0.0695886197616301,0.437022984656151,8.1,1,1,"mtg",TRUE,TRUE
"95","10",6.36,13,-31.695,0.0627755414989457,0.117647058823529,0.491205712492562,9.05,1,2,"mtg",TRUE,TRUE
"96","10",5.8,15,-33.695,0.0470540098199673,0.0934256055363322,0.5804936491643,9.42,1,3,"mtg",TRUE,TRUE
"97","10",5.98,10,-33.14,0.0417731899088322,0.0830449826989619,0.51496600485777,9.76,1,3,"mtg",TRUE,TRUE
"98","10",6.34,18,-31.77,0.0629335260115607,0.118031526336025,0.397230756903294,8.96,1,6,"mtg",TRUE,TRUE
"99","10",6.28,21,-33.17,0.0566450372506609,0.103037293348712,0.437396414486071,9.37,1,2,"mtg",TRUE,TRUE
"100","10",5.78,23,-34.18,0.0549747048903879,0.109188773548635,0.471296731014191,9.34,1,2,"mtg",TRUE,TRUE
"101","15",11.53,47,-2.335,0.157059569889019,0.274894271434064,0.578533063585644,12.63,1,15,"mtg",FALSE,FALSE
"102","15",6.17,20,-32.865,0.0392546424623075,0.114955786236063,0.496967054977741,13,1,0,"mtg",TRUE,TRUE
"103","15",6.94,24,-29.895,0.0467169101830755,0.124183006535948,0.459574029267359,12.09,1,3,"mtg",TRUE,TRUE
"104","15",7.67,26,-27.155,0.0575852386682712,0.139946174548251,0.566849368472957,12.91,1,4,"mtg",TRUE,TRUE
"105","15",7.28,29,-27.98,0.0564639548932743,0.142252979623222,0.546708570812868,14.31,1,1,"mtg",TRUE,TRUE
"106","15",8.02,27,-24.545,0.0747568007922943,0.171856978085352,0.447037053430611,14.82,1,8,"mtg",TRUE,TRUE
"107","15",7.77,33,-24.88,0.071773792128968,0.166089965397924,0.529786889437196,13.39,1,6,"mtg",TRUE,TRUE
"108","15",6.69,20,-33.13,0.0441636833571463,0.121107266435986,0.363062267543738,13.71,1,5,"mtg",TRUE,TRUE
"109","15",7.25,31,-29.02,0.0520708546967592,0.141484044598231,0.504958358429593,13.73,1,9,"mtg",TRUE,TRUE
"110","15",7.02,31,-29.8,0.0489675421566897,0.121107266435986,0.433729214765627,14.81,1,1,"mtg",TRUE,TRUE
"111","15",6.53,20,-30.97,0.0401459272594032,0.111111111111111,0.438068017547825,12.87,1,1,"mtg",TRUE,TRUE
"112","15",7.48,19,-30.995,0.0548184189887802,0.141484044598231,0.627770638982232,13.27,1,5,"mtg",TRUE,TRUE
"113","15",7.54,17,-29.075,0.0671075229122193,0.159938485198001,0.557051859247061,13.48,1,3,"mtg",TRUE,TRUE
"114","15",13.06,52,-7.37,0.201194230553732,0.320261437908497,0.502971327999788,12.8,1,14,"mtg",FALSE,FALSE
"115","15",6.98,16,-30.95,0.047313335351186,0.124951941560938,0.449148097973246,10.5,1,3,"mtg",TRUE,TRUE
"116","15",6.37,22,-32.305,0.0423711158475024,0.114571318723568,0.501186594152403,12.67,1,2,"mtg",TRUE,TRUE
"117","15",6.45,11,-33.515,0.0421382942956405,0.121491733948481,0.477253312689988,13.43,1,2,"mtg",TRUE,TRUE
"118","15",7.22,25,-25.61,0.059711065146632,0.146866589773164,0.524595738736379,13.71,1,4,"mtg",TRUE,TRUE
"119","15",7.14,23,-23.745,0.0464444692630471,0.126874279123414,0.519344382449492,14.82,1,5,"mtg",TRUE,TRUE
"120","15",8.48,33,-23.11,0.0600839727812364,0.143790849673203,0.584289688083809,13.68,1,7,"mtg",TRUE,TRUE
"121","15",7.2,23,-28.565,0.0556170492644818,0.143021914648212,0.507968285659999,14.14,1,4,"mtg",TRUE,TRUE
"122","15",7.82,22,-26.385,0.059841166266134,0.151864667435602,0.488367677657167,13.58,1,4,"mtg",TRUE,TRUE
"123","15",8.26,34,-24.01,0.0702951823560368,0.1680123029604,0.493255440856476,14.52,1,3,"mtg",TRUE,TRUE
"124","15",7.23,25,-27.93,0.0561099845114727,0.131103421760861,0.639734037530759,14.27,1,5,"mtg",TRUE,TRUE
"125","15",6.81,22,-31.45,0.0459635687851455,0.116878123798539,0.512256585734666,14.47,1,5,"mtg",TRUE,TRUE
"126","15",6.78,19,-29.5,0.044552143880722,0.124567474048443,0.485167441970142,13.54,1,6,"mtg",TRUE,TRUE
"127","15",6.61,25,-30.145,0.0500502576702778,0.134948096885813,0.476586941961244,11.4,1,4,"mtg",TRUE,TRUE
"128","15",7.71,31,-26.3,0.0529121770269619,0.130334486735871,0.488413971101907,14.08,1,4,"mtg",TRUE,TRUE
"129","15",7.18,22,-24.64,0.0548255767542109,0.13840830449827,0.541542204858836,13.19,1,4,"mtg",TRUE,TRUE
"130","15",7.98,36,-26.405,0.061026241123383,0.146097654748174,0.63906744107213,14.69,1,5,"mtg",TRUE,TRUE
"131","15",6.44,14,-30.35,0.0425716349626776,0.121876201460977,0.584974519931727,13.66,1,3,"mtg",TRUE,TRUE
"132","15",7.42,24,-26.475,0.0557724125744944,0.141099577085736,0.515644260360673,14.17,1,4,"mtg",TRUE,TRUE
"133","15",6.81,21,-29.315,0.0482002979480033,0.12879661668589,0.55478667461272,13.9,1,5,"mtg",TRUE,TRUE
"134","15",8.09,32,-23.475,0.0725849065667483,0.171088043060361,0.499814095560856,12.07,1,9,"mtg",TRUE,TRUE
"135","15",7.86,34,-28.95,0.0574139672057574,0.137254901960784,0.463672424068125,14.51,1,6,"mtg",TRUE,TRUE
"136","15",7.1,25,-28.985,0.0547049826933913,0.140330642060746,0.459734367715786,13.84,1,5,"mtg",TRUE,TRUE
"137","15",6.56,20,-30.07,0.0393642520470376,0.101114955786236,0.474279872432653,12.12,1,1,"mtg",TRUE,TRUE
"138","15",7.65,28,-24.945,0.0576734936087633,0.13763936947328,0.507791213256537,14.22,1,7,"mtg",TRUE,TRUE
"139","15",7.71,24,-21.995,0.0573454946248582,0.138023836985775,0.55034238790006,14.44,1,6,"mtg",TRUE,TRUE
"140","15",7.17,30,-31.255,0.05637901536592,0.134179161860823,0.441983435535113,13.18,1,5,"mtg",TRUE,TRUE
"141","15",6.88,29,-32.575,0.0474369754565214,0.125720876585928,0.545463615517912,12.54,1,2,"mtg",TRUE,TRUE
"142","15",8.21,30,-21.86,0.0775541474470496,0.171472510572857,0.456342337345862,13.61,1,5,"mtg",TRUE,TRUE
"143","15",7.86,18,-25.85,0.0676176751566573,0.157247212610534,0.509295957735473,13.3,1,2,"mtg",TRUE,TRUE
"144","15",6.42,19,-31.555,0.0378456596752906,0.104959630911188,0.471203021925395,12.73,1,6,"mtg",TRUE,TRUE
"145","15",7.19,23,-31.01,0.0483186839770986,0.125336409073433,0.476335899573666,13.56,1,3,"mtg",TRUE,TRUE
"146","15",7.05,21,-28.93,0.0572441661741922,0.142252979623222,0.460709640484878,12.91,1,3,"mtg",TRUE,TRUE
"147","15",7.51,31,-27.725,0.0642278648139501,0.152249134948097,0.481848655534237,14.77,1,7,"mtg",TRUE,TRUE
"148","15",7.03,24,-29.07,0.054699648909053,0.132256824298347,0.565635823725067,14.25,1,5,"mtg",TRUE,TRUE
"149","15",7.81,29,-26.2,0.0621818704025785,0.146482122260669,0.539463669955058,14.38,1,7,"mtg",TRUE,TRUE
"150","15",7.08,22,-30.195,0.0505771349202548,0.127643214148404,0.508311773859094,13.42,1,4,"mtg",TRUE,TRUE
"151","20",12.61,33,-0.15,0.141598411516505,0.292195309496348,0.377407696099624,12.13,1,12,"mtg",FALSE,FALSE
"152","20",7.71,16,-26.49,0.051552257266543,0.151095732410611,0.532700332221789,17.94,1,7,"mtg",TRUE,TRUE
"153","20",10.99,34,-11.445,0.101304197188676,0.240676662821992,0.458479007683204,18.94,1,11,"mtg",FALSE,FALSE
"154","20",12.91,44,-4.305,0.147971597398083,0.299500192233756,0.556350472512904,17.09,1,10,"mtg",FALSE,FALSE
"155","20",10.83,40,-11.315,0.0992302170738348,0.237985390234525,0.536022312790567,18.85,1,14,"mtg",TRUE,FALSE
"156","20",14.47,48,-1.745,0.191586479151246,0.360630526720492,0.560856140507125,15.79,1,22,"mtg",FALSE,FALSE
"157","20",11.05,43,-10.655,0.107725545705133,0.256055363321799,0.484659491661598,14.3,1,10,"mtg",FALSE,FALSE
"158","20",13.14,37,-2.065,0.149474049816414,0.309880815071126,0.42780860569936,11.36,1,17,"mtg",FALSE,FALSE
"159","20",13.31,43,-3.27,0.172256211761768,0.344482891195694,0.489373796024483,13.67,1,14,"mtg",FALSE,FALSE
"160","20",7.69,28,-28.84,0.0522167609969219,0.157247212610534,0.3898145541036,16.09,1,4,"mtg",TRUE,TRUE
"161","20",11.42,42,-11.035,0.0973153535154324,0.232602845059592,0.54641189451787,15.34,1,18,"mtg",TRUE,FALSE
"162","20",8.38,34,-23.165,0.0598099703849951,0.171856978085352,0.533073845389613,17.68,1,7,"mtg",TRUE,TRUE
"163","20",12.07,34,-5.32,0.145441676807311,0.295655517108804,0.463742680018013,13.53,1,11,"mtg",FALSE,FALSE
"164","20",13.19,32,0.255,0.169502244487984,0.341022683583237,0.471437919869664,14,1,11,"mtg",FALSE,FALSE
"165","20",10.61,31,-12.77,0.10543435242901,0.261053440984237,0.501573140648411,15.64,1,11,"mtg",FALSE,FALSE
"166","20",13.01,39,-1.01,0.168256130790191,0.334486735870819,0.484286918726765,14.87,1,7,"mtg",FALSE,FALSE
"167","20",11.71,38,-8.05,0.127305359574205,0.29680891964629,0.494061390475083,16.58,1,10,"mtg",FALSE,FALSE
"168","20",12.4,44,-2.91,0.136965326484244,0.297962322183775,0.451623194916422,13.4,1,15,"mtg",FALSE,FALSE
"169","20",11.88,42,-10.59,0.123546619728785,0.281430219146482,0.390553671811853,14.43,1,14,"mtg",FALSE,FALSE
"170","20",12.18,44,-9.19,0.143962848297214,0.316416762783545,0.466385673835334,13.51,1,23,"mtg",FALSE,FALSE
"171","20",10.36,43,-18.555,0.0975814619926382,0.248750480584391,0.385268938992297,16.47,1,10,"mtg",TRUE,FALSE
"172","20",12.31,43,-3.475,0.137908285202151,0.289888504421376,0.485124722079763,15.26,1,8,"mtg",FALSE,FALSE
"173","20",12.65,53,-6.005,0.159932033536737,0.330642060745867,0.54253699861091,14.85,1,13,"mtg",FALSE,FALSE
"174","20",12.83,52,-3.335,0.158403026682597,0.324490580545944,0.376386231892803,11.68,1,11,"mtg",FALSE,FALSE
"175","20",12.97,39,-3.86,0.155102998567406,0.328719723183391,0.535930964970155,13.52,1,13,"mtg",FALSE,FALSE
"176","20",7.69,29,-27.79,0.0513866231647635,0.160322952710496,0.472381948716394,17.32,1,13,"mtg",TRUE,TRUE
"177","20",11.2,39,-7.73,0.114845798476714,0.267589388696655,0.556301396221001,17.59,1,12,"mtg",FALSE,FALSE
"178","20",12.14,45,-9.2,0.142957694302438,0.297193387158785,0.459710656723986,15.17,1,12,"mtg",FALSE,FALSE
"179","20",13.67,60,0.115,0.162475222993062,0.323721645520954,0.564791045985732,13.83,1,22,"mtg",FALSE,FALSE
